"Date";"Time";"Script";"ScriptVersion";"Event"
"2023-03-12";"23:20:08";"_TriggerUpdate_";;"Connecting to MQTT server 1883"
"2023-03-12";"23:20:08";"_TriggerUpdate_";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-12";"23:26:03";"_TriggerUpdate_";;"Connecting to MQTT server 1883"
"2023-03-12";"23:26:03";"_TriggerUpdate_";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-12";"23:27:17";"_TriggerUpdate_";;"Connecting to MQTT server 1883"
"2023-03-12";"23:27:17";"_TriggerUpdate_";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-12";"23:28:43";"_TriggerUpdate_";;"Connecting to MQTT server 1883"
"2023-03-12";"23:28:43";"_TriggerUpdate_";;"Publish message to MQTT server 1883 - Todays prices"
