"Date";"Time";"Script";"ScriptVersion";"Event"
"2023-03-25";"20:32:00";"_DynamicTariff2MQTT_";;"M2MQtt module loaded"
"2023-03-25";"20:32:01";"_DynamicTariff2MQTT_";;"Default MQTT port selected"
"2023-03-25";"20:32:01";"_DynamicTariff2MQTT_";;"Connecting to MQTT server 1883"
"2023-03-25";"20:32:01";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Retrieve electric prices Today from disk"
"2023-03-25";"20:32:01";"_DynamicTariff2MQTT_";;"Get-StoredPrices | No data stored, retrieve new ones"
"2023-03-25";"20:32:01";"_DynamicTariff2MQTT_";;"Update-Prices | Get electric prices of today"
"2023-03-25";"20:32:02";"_DynamicTariff2MQTT_";;"Update-Prices | Verify if prices are retrieved"
"2023-03-25";"20:32:02";"_DynamicTariff2MQTT_";;"Update-Prices | Prices retrieved, convert data to PowerShell accepted values"
"2023-03-25";"20:32:02";"_DynamicTariff2MQTT_";;"Update-Prices | Check if prices are up-to-date"
"2023-03-25";"20:32:02";"_DynamicTariff2MQTT_";;"Get-DataValid | Check if data (2023-03-25) is up-to-date (I.e. -eq to 2023-03-25)"
"2023-03-25";"20:32:02";"_DynamicTariff2MQTT_";;"Get-DataValid | Data is valid"
"2023-03-25";"20:32:02";"_DynamicTariff2MQTT_";;"Update-Prices | Prices are up-to-date, write prices to file"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Retrieve electric prices Tomorrow from disk"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Get stored electric prices of Tomorrow"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Check if prices are up-to-date"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-DataValid | Check if data (2023-03-26) is up-to-date (I.e. -eq to 2023-03-26)"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-DataValid | Data is valid"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Result: True"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Data is up-to-date"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | Retrieve gas prices Today from disk"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-StoredPrices | No data stored, retrieve new ones"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Update-Prices | Get gas prices"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Update-Prices | Verify if prices are retrieved"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Update-Prices | Prices retrieved, convert data to PowerShell accepted values"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Update-Prices | Check if prices are up-to-date"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-DataValid | Date: 2023-03-25 06:00:00 2023-03-26 06:00:00"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Get-DataValid | Data is valid"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Update-Prices | Prices are up-to-date, write prices to file"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Publish electric statistics"
"2023-03-25";"20:32:03";"_DynamicTariff2MQTT_";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-25";"20:32:04";"_DynamicTariff2MQTT_";;"Collect statistics of AIP electric"
